Date,Beta_Mkt-RF,Beta_SMB,Beta_HML,Alpha_FF3,R2_FF3,Rolling_ER_FF3
2025-07-17,1.3718758933085948,-0.6766733837450434,-1.225629491625685,0.2067412376231272,0.4471069490500863,0.8693164843981067
2025-07-18,1.3716936722693949,-0.6725111903520373,-1.2298456998517573,0.2002815744676921,0.44644279565169476,0.8420248739984
2025-07-21,1.3682990484102096,-0.6764857472394167,-1.260115023373221,0.19326969898890448,0.4449299844238155,0.8131925236999793
2025-07-22,1.3642754562258728,-0.6761721662445352,-1.2834437420802187,0.18738534426759906,0.44546740698496934,0.7890943518539734
2025-07-23,1.3689754099314322,-0.6743456749151229,-1.2782251355007759,0.18384987387974702,0.44643533706218164,0.7752080880395966
2025-07-24,1.3723440658344832,-0.6699342447581098,-1.2790958178680463,0.18461567897408354,0.4463726353788301,0.7783826553073697
2025-07-25,1.3713314156923868,-0.6920470080997634,-1.2679304412961816,0.1772604324794709,0.4477372541236827,0.7500416943287879
2025-07-28,1.3735639184211084,-0.6924074035300332,-1.2931864411460385,0.17603493033866327,0.4451097475908298,0.74565024151725
2025-07-29,1.3715709939051957,-0.7068354426140416,-1.2980231130824824,0.17644243160372614,0.4447755149834475,0.7477675397322968
2025-07-30,1.3759989325061945,-0.7038004945987846,-1.2944441708876098,0.1782216483604953,0.44492050284222573,0.7549988563483139
