Date,Beta_Mkt-RF,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,Alpha_FF5,R2_FF5,Rolling_ER_FF5
2025-07-17,1.1982948443906303,-0.7646207347156004,-1.2114001360438253,-1.0554696836596669,-0.20539259996417603,0.19457421488332272,0.45979544108885195,0.7744814267941612
2025-07-18,1.202851335032181,-0.7539544631115985,-1.2091965747133457,-1.048315171780972,-0.2099749169737763,0.18925184129622358,0.4588446943595704,0.7529299775934573
2025-07-21,1.1981572982812447,-0.7595717050469712,-1.2399396596927268,-1.0575217624675486,-0.2209737570678146,0.18237350336081662,0.45765522432975847,0.725115112349381
2025-07-22,1.1959937410921937,-0.7575899334674874,-1.2552521442880669,-1.0625134629275725,-0.26714182597853436,0.17582818852288323,0.45853004192540114,0.6990346518646364
2025-07-23,1.2010449369483513,-0.7549830769946922,-1.2516266584227271,-1.0555509179430793,-0.2604009865986029,0.1738557968588999,0.4592396229202498,0.6918389666608581
2025-07-24,1.2018001684488633,-0.7540650079630572,-1.2592142758127958,-1.0658978722045274,-0.2519137083178048,0.1772139241574574,0.4594864733471852,0.7047585306422373
2025-07-25,1.2078435878686957,-0.7671782296198257,-1.2402047304318535,-1.0229470805242944,-0.2677517945862391,0.17071188973639262,0.4599736960652445,0.6816446231372951
2025-07-28,1.2122452908845989,-0.7672698558545112,-1.255903772285932,-1.0073844168539399,-0.2969713099382651,0.16978161098336533,0.4572830898840269,0.6790751884316908
2025-07-29,1.2147289132484778,-0.7811342190998634,-1.248308894471457,-0.973383780436243,-0.29508036621950046,0.17254139064085378,0.45622992345077584,0.691501973161924
2025-07-30,1.2220282382223324,-0.7751705381004504,-1.2423796317315614,-0.9607458043087309,-0.28586471891747267,0.17220979352406046,0.45609699766326706,0.6909263458897966
